close,time,rsi,so,wr,emacd
1.68853,5/12/2021 19:20,52.78,57.45,-42.55,0.002977584
1.68948,5/12/2021 19:25,49.26,59.25,-40.75,0.003032636
1.68572,5/12/2021 19:30,50.36,52.14,-47.86,0.002076932
1.70132,5/12/2021 19:35,51.88,83.04,-16.96,-0.000639703
1.71368,5/12/2021 19:40,54.13,97.97,-2.03,-0.003382566
1.70743,5/12/2021 19:45,58.54,86.95,-13.05,-0.00462677
1.70513,5/12/2021 19:50,57.98,82.9,-17.1,-0.005632
1.71535,5/12/2021 19:55,54.46,97.95,-2.05,-0.005949342
1.71367,5/12/2021 20:00,57.77,95.07,-4.93,-0.006900753
1.71615,5/12/2021 20:05,56.71,90.98,-9.02,-0.009130153
1.72053,5/12/2021 20:10,57.42,97.85,-2.15,-0.011272741
1.71558,5/12/2021 20:15,68.22,88.99,-11.01,-0.010358487
1.71444,5/12/2021 20:20,66.09,87.22,-12.78,-0.009583874
1.70786,5/12/2021 20:25,52.19,62.45,-37.55,-0.008176328
1.72194,5/12/2021 20:30,54.73,98.1,-1.9,-0.008120562
1.73125,5/12/2021 20:35,57.91,98.28,-1.72,-0.007633064
1.7341,5/12/2021 20:40,54.04,87.84,-12.16,-0.00593362
1.73555,5/12/2021 20:45,47.52,86.74,-13.26,-0.004377155
1.73481,5/12/2021 20:50,46.22,83.48,-16.52,-0.003386273
1.74029,5/12/2021 20:55,47.69,96.8,-3.2,-0.002741575
1.73965,5/12/2021 21:00,48.56,94.5,-5.5,-0.002153264
1.74003,5/12/2021 21:05,46.35,95.63,-4.37,-0.001657512
1.74442,5/12/2021 21:10,42.82,100,0,-0.000819831
1.73851,5/12/2021 21:15,44.25,78.13,-21.87,0.000229406
1.74977,5/12/2021 21:20,46.07,99.98,-0.02,0.000520116
1.74983,5/12/2021 21:25,47,100,0,-0.000683174
1.74549,5/12/2021 21:30,49.72,89.66,-10.34,-0.000331155
1.74464,5/12/2021 21:35,57.7,87.63,-12.37,0.000638456
1.74029,5/12/2021 21:40,49.74,65.07,-34.93,0.001972608
1.74282,5/12/2021 21:45,43.89,63.12,-36.88,0.002575034
1.73338,5/12/2021 21:50,38.81,13.47,-86.53,0.002944056
1.73301,5/12/2021 21:55,44.11,11.52,-88.48,0.00387841
1.73719,5/12/2021 22:00,41.53,32.04,-67.96,0.00458762
1.68318,5/12/2021 22:05,20.67,0,-100,0.006995586
1.675,5/12/2021 22:10,21.05,30.02,-69.98,0.009570788
1.68422,5/12/2021 22:15,31.12,38.64,-61.36,0.010803421
1.69488,5/12/2021 22:20,34.68,48.61,-51.39,0.012041273
1.68793,5/12/2021 22:25,34.09,42.11,-57.89,0.013507775
1.66248,5/12/2021 22:30,31.98,18.31,-81.69,0.015361955
1.63105,5/12/2021 22:35,33.33,0.18,-99.82,0.018183065
1.66526,5/12/2021 22:40,44.82,30.78,-69.22,0.018288652
1.67831,5/12/2021 22:45,41.86,42.15,-57.85,0.017449769
1.68151,5/12/2021 22:50,36.92,45.6,-54.4,0.015703706
1.69322,5/12/2021 22:55,39.84,56.21,-43.79,0.013635398
1.66881,5/12/2021 23:00,37.69,34.78,-65.22,0.013054438
1.66857,5/12/2021 23:05,31.28,34.57,-65.43,0.008339663
1.6748,5/12/2021 23:10,37.07,40.04,-59.96,0.00341802
1.6637,5/12/2021 23:15,44.77,46.4,-53.6,0.000431302
1.66713,5/12/2021 23:20,42.89,51.4,-48.6,-0.001192362
1.64249,5/12/2021 23:25,40.5,18.02,-81.98,-0.001619862
1.635,5/12/2021 23:30,42.16,7.87,-92.13,-0.003659402
1.6213,5/12/2021 23:35,40.21,13.47,-86.53,-0.006992349
1.63491,5/12/2021 23:40,41.23,29.33,-70.67,-0.007537066
1.63298,5/12/2021 23:45,47.52,27.08,-72.92,-0.00646516
1.60195,5/12/2021 23:50,32.8,0.81,-99.19,-0.003882955
1.56445,5/12/2021 23:55,26.5,24.97,-75.03,0.000555963
1.5028,5/13/2021 0:00,24.09,2.06,-97.94,0.005402184
1.60124,5/13/2021 0:05,58.07,53.22,-46.78,0.005692352
1.57435,5/13/2021 0:10,56.55,41.53,-58.47,0.007324005
1.60603,5/13/2021 0:15,61.95,58.92,-41.08,0.008247993
1.62038,5/13/2021 0:20,55.8,66.81,-33.19,0.008469921
1.62898,5/13/2021 0:25,51.48,74.82,-25.18,0.005815253
1.63859,5/13/2021 0:30,52.28,83.75,-16.25,0.001910016
1.63942,5/13/2021 0:35,48.09,87.2,-12.8,-0.0023872
1.63058,5/13/2021 0:40,47.97,88.77,-11.23,-0.003646995
1.63638,5/13/2021 0:45,44.14,92.67,-7.33,-0.0035574
1.63208,5/13/2021 0:50,48.8,89.78,-10.22,-0.006698783
1.61167,5/13/2021 0:55,46.36,76.04,-23.96,-0.011597763
1.61277,5/13/2021 1:00,44.05,76.78,-23.22,-0.020293584
1.633,5/13/2021 1:05,45.84,90.4,-9.6,-0.021389247
1.63388,5/13/2021 1:10,52.38,90.92,-9.08,-0.023236802
1.63148,5/13/2021 1:15,40.59,83.77,-16.23,-0.022205505
1.64201,5/13/2021 1:20,50.9,94.38,-5.62,-0.020724593
1.64631,5/13/2021 1:25,43.94,98.45,-1.55,-0.018153014
1.6338,5/13/2021 1:30,41.61,67.19,-32.81,-0.014260641
1.62077,5/13/2021 1:35,40.63,36.61,-63.39,-0.009265719
1.62068,5/13/2021 1:40,36.99,36.4,-63.6,-0.005467886
1.63063,5/13/2021 1:45,40.97,59.75,-40.25,-0.002511304
1.6331,5/13/2021 1:50,37.87,65.55,-34.45,-0.001082734
1.64425,5/13/2021 1:55,39.88,91.72,-8.28,-0.00222952
1.64236,5/13/2021 2:00,35.44,87.28,-12.72,-0.002298257
1.65452,5/13/2021 2:05,43.19,100,0,-0.000308344
1.6636,5/13/2021 2:10,44.9,98.91,-1.09,0.003074363
1.65395,5/13/2021 2:15,39.56,78.2,-21.8,0.002783543
1.64819,5/13/2021 2:20,45.21,66.07,-33.93,0.004486003
1.65444,5/13/2021 2:25,43.21,79.23,-20.77,0.004945317
1.64509,5/13/2021 2:30,40.32,59.54,-40.46,0.004320491
1.64666,5/13/2021 2:35,41.69,62.85,-37.15,0.002354341
1.66,5/13/2021 2:40,46.03,90.94,-9.06,-0.000569425
1.656,5/13/2021 2:45,52.16,81.93,-18.07,-0.002453592
1.6535,5/13/2021 2:50,58.37,75.24,-24.76,-0.003402403
1.64812,5/13/2021 2:55,57.75,54.19,-45.81,-0.003005022
1.63258,5/13/2021 3:00,54.56,6.76,-93.24,-0.001977592
1.63726,5/13/2021 3:05,50.52,20.52,-79.48,0.000629458
1.62762,5/13/2021 3:10,55.95,7.44,-92.56,0.004119281
1.61793,5/13/2021 3:15,53.13,0,-100,0.006192538
1.61812,5/13/2021 3:20,46.57,3.47,-96.53,0.007367917
1.61415,5/13/2021 3:25,49.71,0,-100,0.008763267
1.61828,5/13/2021 3:30,47.76,13.23,-86.77,0.008477189
1.60638,5/13/2021 3:35,43.19,0,-100,0.008397007
1.60206,5/13/2021 3:40,45.14,0,-100,0.009718169
1.61598,5/13/2021 3:45,50.07,22.89,-77.11,0.010325559
1.62456,5/13/2021 3:50,49.64,36.99,-63.01,0.010327697
1.63671,5/13/2021 3:55,51.14,59.91,-40.09,0.009217997
1.64871,5/13/2021 4:00,51.16,90.18,-9.82,0.006530556
1.65095,5/13/2021 4:05,48.23,89.17,-10.83,0.004012341
1.65145,5/13/2021 4:10,56.81,90.08,-9.92,0.001221307
1.6581,5/13/2021 4:15,57.2,100,0,-0.002641203
1.6562,5/13/2021 4:20,57.7,90.19,-9.81,-0.00616604
1.66284,5/13/2021 4:25,61.36,97.08,-2.92,-0.009134535
1.6534,5/13/2021 4:30,61.15,82,-18,-0.010460074
1.6513,5/13/2021 4:35,60.79,78.65,-21.35,-0.01221006
1.63961,5/13/2021 4:40,58.71,59.97,-40.03,-0.012932628
1.63782,5/13/2021 4:45,66.51,57.12,-42.88,-0.012317073
1.63645,5/13/2021 4:50,69.6,54.08,-45.92,-0.011325393
1.64805,5/13/2021 4:55,68.46,68.08,-31.92,-0.00972963
1.65847,5/13/2021 5:00,68.31,84.46,-15.54,-0.00779199
1.67052,5/13/2021 5:05,68.74,100,0,-0.006299854
1.67439,5/13/2021 5:10,65.2,89.39,-10.61,-0.004720472
1.67701,5/13/2021 5:15,69,87.45,-12.55,-0.003182163
1.681,5/13/2021 5:20,63.48,88.58,-11.42,-0.002038211
1.68509,5/13/2021 5:25,63.06,90.32,-9.68,-0.000603426
1.68257,5/13/2021 5:30,63.86,85.72,-14.28,-9.56E-05
1.69152,5/13/2021 5:35,66.42,98.94,-1.06,-0.000181004
1.68689,5/13/2021 5:40,69.28,87.67,-12.33,-0.001187178
1.68702,5/13/2021 5:45,70.12,86.77,-13.23,-0.001848699
1.69549,5/13/2021 5:50,80.45,100,0,-0.002776545
1.70483,5/13/2021 5:55,78.44,96.08,-3.92,-0.003580227
1.71486,5/13/2021 6:00,77.56,100,0,-0.004164703
1.71363,5/13/2021 6:05,79.73,89.66,-10.34,-0.004088249
1.70807,5/13/2021 6:10,76.11,79.54,-20.46,-0.003762391
1.72264,5/13/2021 6:15,75.49,100,0,-0.00383653
1.70456,5/13/2021 6:20,62.82,61.68,-38.32,-0.00283641
1.70803,5/13/2021 6:25,57.22,66.02,-33.98,-0.002052505
1.70217,5/13/2021 6:30,60.62,53.49,-46.51,-0.001268375
1.69544,5/13/2021 6:35,62.85,39.11,-60.89,5.80E-05
1.70429,5/13/2021 6:40,60.22,55.38,-44.62,0.000762556
1.70994,5/13/2021 6:45,57.81,62.23,-37.77,0.001130681
1.72256,5/13/2021 6:50,59.18,96.29,-3.71,0.001914625
1.73604,5/13/2021 6:55,57.47,94.17,-5.83,0.002752361
1.73927,5/13/2021 7:00,55.4,96.37,-3.63,0.004004544
1.73077,5/13/2021 7:05,54.32,78.95,-21.05,0.004902807
1.73424,5/13/2021 7:10,51.4,86.07,-13.93,0.00469986
1.72386,5/13/2021 7:15,46.87,64.8,-35.2,0.005511679
1.71984,5/13/2021 7:20,47.05,56.56,-43.44,0.004897572
1.72732,5/13/2021 7:25,42.55,71.89,-28.11,0.004156127
1.72579,5/13/2021 7:30,53.01,68.75,-31.25,0.002906623
1.71508,5/13/2021 7:35,53.4,46.8,-53.2,0.001576592
1.70933,5/13/2021 7:40,51.48,35.02,-64.98,0.001402759
1.71493,5/13/2021 7:45,48.95,41.56,-58.44,0.001263984
1.71409,5/13/2021 7:50,50.36,38.88,-61.12,0.002393908
1.72804,5/13/2021 7:55,52.57,61.9,-38.1,0.003849191
1.73464,5/13/2021 8:00,48.28,69.06,-30.94,0.004958234
1.71843,5/13/2021 8:05,37.47,28.67,-71.33,0.00560672
1.70667,5/13/2021 8:10,39.72,8.47,-91.53,0.006502233
